,事件名（英文）,事件名（中文）,上报逻辑,属性名（英文）,属性名（中文）,属性值类型,属性名的对应值及说明,备注,进版版本号,无痕模式是否上报,备注,,,,,,
classification,"event name
（English）","event name
（Chinese）",report logic,"key name
（English）","key name
（Chinese）",key value type,key value & other notes,remark,app_ver,,,,,,,,
单条内容,content_item_expose,信息流_单条内容_曝光,"1、上报范围
A、资讯和视频各频道列表页：流内竖向的卡片、小视频滑动加载更多露出的卡片，卡片包括推荐内容、cms配置卡片、RS
B、短视频沉浸式列表页，第一个以及后续每一个
C、图文详情页/短视频详情页：相关推荐的内容
D、小视频详情页/连播页
E、浏览器首页未进入流时曝光的内容

2、曝光逻辑（与目前o2o逻辑保持一致）
A、卡片露出1/3上报，短视频小视频与是否播放无关
B、去重逻辑：
    根据信息流卡片的appid、docid、channel（频道）、type（事件类型）查询是否打过点，打过了就不打了，本地数据库缓存666条记录
C、快速滑动：
    滑动中的卡片不上报，页面静止时上报   
D、cms配置的非内容、rs不过滤，遵循模块通用曝光逻辑（见打点规则one track接入埋点定义规范 ）",common key,公共属性,,,"三个曝光事件的区别：

14.8版本以下，曝光事件是content_item_expose，用feed_status区分进入态和未进入态；

14.8版本及以上，曝光事件区分为两个：content_item_expose_enter（进入态曝光事件）、content_item_expose_noenter（未进入态曝光事件）
",14.3.4至14.8.5,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_expose_noenter,信息流_单条内容_曝光_未进入态,"未进入态情况下，信息流单条内容曝光时上报；
曝光逻辑与原曝光逻辑一致",common key,公共属性,,,,14.8.6,是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,在神策上区分用户首日/首次访问,,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,from_gid ,文章id ,string,（只有详情页相关阅读需要上报）文章详情页的文章id，只有文章详情页和视频详情页传此值 ,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,15.4,,,,,,,,
,,,,point_show,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,content_item_expose_enter,信息流_单条内容_曝光_进入态,"进入态情况下，信息流单条内容曝光时上报；
曝光逻辑与原曝光逻辑一致",common key,公共属性,,,,"14.8.6
15.6新增一个上报场景：
点击push内容进入详情页时，上报content_item_expose_enter
此时feed_channel需等于'push'",是,,,,,,,
,,,,content key,信息流所有通用属性,,,,,,,,,,,,
,,,,$is_first_day,是否首日访问,boolean,true（参数值固定为true）,在神策上区分用户首日/首次访问,,,,,,,,,
,,,,$is_first_time,是否首次触发事件,boolean,true（参数值固定为true）,,,,,,,,,,
,,,,from_gid ,文章id ,string,（只有详情页相关阅读需要上报）文章详情页的文章id，只有文章详情页和视频详情页传此值 ,举例：列表页点击内容进入详情页A，在A的详情页点击相关推荐进入详情页B，在B的详情页点击相关推荐进入详情页C，则B的from_gid=A，C的from_gid=B，以此类推,15.4,,,,,,,,
,,,,point_show,,,,,,,,,,,,,
